content,label
I cannot open the app anymore,poor
I have been begging for a refund from this app for over a month and nobody is replying me,poor
Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,poor
"Used to keep me organized, but all the 2020 UPDATES have made a mess of things !!! Y cudn't u leave well enuf alone ??? Guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!! 🤤🤤🤤",poor
Dan Birthday Oct 28,poor
It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,poor
"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",poor
"Reset my free trial, new phone I'd like to see if it's better.",poor
How do to stop monthly payment because i don't use this app anymore,poor
"I complain about not crashes and it was immediately fixed!Good job!! Now the crashes have returned! I really need it fixed because I need to change apps otherwise 😩 I followed your instructions on deleting the data, etc but it just now crashed again. I am a patient person and I have used Any Do for years but let's try one more time and then I will have to find another app. It crashed again 😑",poor
"Constant crashing. After reading all the negative reviews, I Uninstalled it from all my devices. **Canceled subscription. App was great, until it crashed. After spending more than a hour setting it up on my Samsung tablet, it will not run. Cannot even get it to start. Too bad. In the past, my experiences have been good with this app. Guess I will see how long it takes to crash on my cell phone. So much for multi-device sync. Such a disappointment. **see above, for new comment added.",poor
"Widgets are useless because they always show all tasks I have, regardless of category. There's no option to show only a specific category like groceries so they're all mixed up with to-do list tasks. Do developers even care about usability? Isn't it a software design 101?",poor
Horrible app. It doesn't do as described. Absolutely no support!,poor
"Update October 2020: new update deleted all of my tasks, forced me to create an account, and now only bare minimum is free. Finding a new app. Been using this for years and loved it. With each update you get less and less free. It just auto updated and now I can't have reoccurring reminders without paying. Unless you count defaulting to every Monday. It wouldn't even allow me to update a long time weekly reminder",poor
Did not realize there was a charge for this app do not want this app.,poor
"Spams notifications of how many tasks other users have completed this week. Who on earth would care? Uninstalled. **Update: Developer responded that this was a once off experiment. I think this was actually the third time I received this notification. Also, experimental spam is still spam",poor
Downloaded first thing it trys to do is do a con. Not impressed.,poor
No longer works with Alexa. What happened??,poor
it doesn't show any list,poor
Do not download,poor
This app is not what I wanted at all.,poor
Unnecessary pop up. Really annoying and counterproductive,poor
They recently started sending spammy notifications every week or so. Please stop.,poor
"Shows tasks assigned to others in widget. A major missing feature for any serious projects, is some way to know if a task you're currently adding to a long list, already exists. Some kind of an automatic search through the existing tasks - at least the tasks in the current list - while typing in a new task. Other than that, this is great. Good job! _Task search in the web app is an extra step and not intuitive._ Using a separate search feature to check every new task you're adding, is absurd.",poor
7 days for free and then you pay. Plus too complicated for some simple tasks,poor
Update: thanks for your response. I would ask the developers to check their own app. There is NO monthly subscription option in the app. Old review: No monthly subscriptions? Why should I be forced to subscribe for a year? I am definitely not subscribing for a year in one go. This is ridiculously desperate.,poor
Expensive paywall preventing access to features in wanting to try out,poor
"I was about to pay for this app when I noticed a bug. It does not effectively sync tasks and events from the Google Calendar. Numerous issues, and you can't even mark those events as over. Sorry, not going to subscribe to this. I have no idea why this app is so famous. It's quite bad, in my opinion.",poor
Worst application no task information on screen,poor
"I downloaded this app to try for my task list but i see there're not many functions, choices of sounds, color labels... to make the task fun, dissapointed with the score i saw on Google Play. The worst point is this app forced me to pay for it without any awareness. I checked my Google play account before the trial end, i didn't see any Subscription plan from Any.do, but after the trial, it charged me yearly plan for this App. Bad way to trick people to pay for this app.",poor
"Shameless App Ever, Waste Money !!! I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????",poor
I am not providing email addresses or google or Facebook accounts for a todo list,poor
Uninstalled it as soon as it started sending me Ad notifications. Why does any developer think this is acceptable? Disgusting.,poor
I have subscribed and have been charged for the whole year. Though no features of premium appeared. Can someone clarify the reason????,poor
Have to pay premium if you want to put multiple reminders a day,poor
"I have tried I installing this on two separate Android devices with no luck. I can not add my calendars. I put the widget on the home screen. It says I need to add my calendars and has a button to add them, but nothing happens when I tap the button.",poor
Prayer Ubde,poor
such a useless and greedy app only wants money as is chargeable after 7 days do you have shame i want to give you 0 star,poor
Yes i what,poor
Waste,poor
"Really cumbersome, is not easy to use",poor
Was charged for the year instead of monthly,poor
"Not free, cannot delete account",poor
Will not enable me to unsubscribe!,poor
Dindigul,poor
Latest update deleted all my tasks and lists! Have to start all over and try to remember what my list items were. I'll be looking for a new app.,poor
Features for the free version are just disappointing.,poor
Locking basic features behind a paywall is kinda weird,poor
Soo awkward i can't able to sign *up* 😭 Sick app,poor
Hangs when setting up Google Assistant,poor
Subscription?? How does this application figure that it can be a subscription application? Ridiculous Update after developer response: This is not a subscription application. You are not Netflix or Adobe. This should be a standalone app quit trying to milk people's money. You can say anything you want. THIS WILL NEVER BE A SUBSCRIPTION APPLICATION. STOP BEING RIDICULOUS.,poor
good,poor
"Hopeless customer service. I paid for the premium version, had a problem with its sharing function, emailed customer support for a solution, was told it would take 2 business days for a response (which was hopeless enough), now over 5 business days later I've not received a response.",poor
Duplicates files attached and you have to constantly delete. FIX THE BUGS.,poor
Used to work so well earlier. Now it doesn't work at all!! Junk!!,poor
Frustrating. Apparently its meant to sync grocery lists with Google home but doesn't. Absolutely no info on how to set it up,poor
Too complicated to use,poor
Forced sign in,poor
Work on it,poor
"I should have looked through ""most recent"" instead of ""most relevant"" reviews. It's far too limited for me in it's free state and I'm not interested in paying for a subscription just to unlock what should be basic functionality in a to do list app.",poor
do not for showing or refund&refuse about my persional privacy.,poor
"It doesn't have sub lists, e.g. ""child/school"", ""child/health"" so you see too many lists or too many tasks at once (which is overwelming).",poor
Not usefull and even they charge some money :),poor
This app is absolutely useless. Because of this i missed an important event because the reminder alarm supposedly forgot to rang. Its pathetic and useless.,poor
Is the app or web platform down today? Can't seem to login either.,poor
Have to pay for daily reminders... My phone does that free,poor
The app is amazing - but the vibrations! So annoying!! Pls let me turn them off.,poor
Dipak day Cox,poor
Very bad,poor
Location reminders don't work in medium power saving mode.. And all I got in reply was a copy paste solution and a trouble shoot link.,poor
Fed up with interruption in each matter I note. Not worth the while HAVING there are far too many condescending workers out inte cyber world who refuse to take no for an answer.,poor
"Really dissappointed in this app. Was using it to schedule my customers appointments. As soon as the new version came out, I lost everything. Going back to paper as at least my paper won't delete everything. A terrible app for business owners and scheduling appointments. Absolutely horrible and I'm very angry.",poor
Thanks to your stupid update I lost ALL of my appointment dates... Terrible garbage.,poor
"I miss Cal. The updates destroyed it, turned this into a cookie-cutter to-do app. It's a shame.",poor
Was great but can't connect with other people since last update. Invite will go out and will even receive the invitation but doesn't link and have had no luck with customer support,poor
I WAS TRYING FOR DAYS TO UN SUBSCRIBE. BUT OF COURSE THAT I was charged. Absolutely no support. Horrible and disgusting tactics,poor
"Update ruined app Last update re-formatted the ""Plan My Day"" function so the ability to schedule tasks for that day or postpone into the future is unusable, so I have 50+ tasks and to way to arrange them into a comprehensive order. Contacted the developer who emailed me back after 4 days asking for a screenshot of the problem, so I sent it right back. 3 days later - no response from the developer, no fix, nothing. Update9/8: no fix, moved to aCalTasks +",poor
👎,poor
"Does not do weekly reminders correctly. I opened a bug report, and was told that it was a known bug. A reminder app that gets reminders at the wrong time is a big 'no' from me.",poor
"In app purchases significantly impact experience. £16 a year for features such as recurring tasks, you're having a laugh",poor
You need an account because they want to track your cookies for ads,poor
Need to create an account to use it.,poor
"Is NOTHING free anymore??. It looks like a good app but as soon as you open it, it gives the subscription rates 🤬🤬🤬🤬. I uninstalled immediately. Don't bother. Believe it or not, some people don't enjoy being nickle and dimed!",poor
Very bad,poor
Pratz,poor
i sent an ivite to people and everyone got over 50 emails for the one invite. What a joke of a an app.,poor
I have to sync whatttt gtfohhhhhh,poor
Bring back my money! Why your system stolen my money from pending subscribe? Without confirmation and notification!!!! Wheres my money???,poor
WHY IS THIS SO BUGGY NOW? WHY ARE YOU NO LONGER REALLY BEING ATTENTIVE TO QUALITY CONTROL? CANT DELETE TASK ON ONE TRY. CAN NO LONGER DELETE FINISHED TASKS WITHOUT SEVERAL ATTEMPTS. ALL COMMANDS ARE HESITANT. ALL COMMANDS REQUIRE MULTIPLE ATTEMPTS. I HAVE EMAILED YOU 3 TIMES WITH NO RESPONSE. PLEASE ADVISE.,poor
Hum hai al Ghj,poor
Shabab,poor
Makes simple things extremely complicated,poor
Even after your response it doesn't change the fact that you are required to have an account to proceed. The reasoning that others do it is negligible. Only way I would rate this app better is if you had an Anonymous auto log in that can be converted to a full account on sign up or log in.,poor
The latest update now not working fine at all. It's worsening day by day. The developers now appears to have a different intention that premium paid version is purchased by the users.,poor
Just use your basic phone calendar,poor
I want to cancel the subscription.,poor
MoneyGrabber Wants you to pay premium to choose specific dates.,poor
